iter	Passed	Remaining
794	6461	1666
795	6467	1657
796	6473	1648
797	6479	1640
798	6485	1631
799	6491	1622
800	6496	1614
801	6502	1605
802	6508	1596
803	6514	1588
804	6520	1579
805	6525	1570
806	6533	1562
807	6542	1554
808	6644	1568
809	6670	1564
810	6683	1557
811	6692	1549
812	6705	1542
813	6728	1537
814	6745	1531
815	6753	1522
816	6759	1514
817	6766	1505
818	6772	1496
819	6780	1488
820	6786	1479
821	6792	1470
822	6798	1462
823	6804	1453
824	6809	1444
825	6815	1435
826	6821	1426
827	6826	1418
828	6833	1409
829	6839	1400
830	6844	1392
831	6850	1383
832	6856	1374
833	6863	1366
834	6869	1357
835	6875	1348
836	6882	1340
837	6887	1331
838	6893	1322
839	6899	1314
840	6905	1305
841	6911	1297
842	6917	1288
843	6923	1279
844	6929	1271
845	6935	1262
846	6940	1253
847	6946	1245
848	6952	1236
849	6958	1228
850	6965	1219
851	6970	1210
852	6976	1202
853	6982	1193
854	6988	1185
855	6994	1176
856	6999	1168
857	7005	1159
858	7011	1150
859	7017	1142
860	7023	1133
861	7030	1125
862	7036	1116
863	7042	1108
864	7047	1099
865	7053	1091
866	7059	1082
867	7065	1074
868	7071	1065
869	7077	1057
870	7083	1049
871	7088	1040
872	7094	1032
873	7100	1023
874	7106	1015
875	7111	1006
876	7117	998
877	7123	989
878	7129	981
879	7135	972
880	7141	964
881	7146	956
882	7153	947
883	7159	939
884	7164	931
885	7170	922
886	7176	914
887	7182	905
888	7188	897
889	7194	889
890	7200	880
891	7206	872
892	7212	864
893	7218	855
894	7224	847
895	7230	839
896	7236	830
897	7242	822
898	7247	814
899	7253	805
900	7259	797
901	7265	789
902	7271	781
903	7277	772
904	7283	764
905	7289	756
906	7295	748
907	7301	739
908	7307	731
909	7312	723
910	7318	714
911	7324	706
912	7330	698
913	7337	690
914	7343	682
915	7348	673
916	7355	665
917	7361	657
918	7367	649
919	7373	641
920	7379	632
921	7385	624
922	7392	616
923	7398	608
924	7407	600
925	7416	592
926	7425	584
927	7433	576
928	7443	568
929	7454	561
930	7465	553
931	7480	545
932	7496	538
933	7513	530
934	7529	523
935	7547	516
936	7562	508
937	7579	500
938	7593	493
939	7602	485
940	7611	477
941	7619	469
942	7625	460
943	7633	452
944	7641	444
945	7649	436
946	7655	428
947	7661	420
948	7667	412
949	7676	404
950	7683	395
951	7692	387
952	7701	379
953	7710	371
954	7721	363
955	7733	355
956	7747	348
957	7766	340
958	7782	332
959	7795	324
960	7806	316
961	7820	308
962	7832	300
963	7847	293
964	7858	285
965	7873	277
966	7887	269
967	7899	261
968	7910	253
969	7922	245
970	7934	236
971	7948	228
972	7961	220
973	7971	212
974	7984	204
975	7998	196
976	8013	188
977	8026	180
978	8038	172
979	8052	164
980	8069	156
981	8081	148
982	8093	139
983	8105	131
984	8118	123
985	8133	115
986	8146	107
987	8159	99
988	8170	90
989	8182	82
990	8193	74
991	8203	66
992	8213	57
993	8219	49
994	8226	41
995	8234	33
996	8242	24
997	8248	16
998	8254	8
999	8261	0
